Latitude,Longitude,Instrument,UTC date,UTC time,Sun elevation,Sun azimuth,Sirius elevation,Rigel elevation,Betelgeuse elevation,Procyon elevation,Capella elevation,Arcturus elevation,Spica elevation,Vega elevation,Deneb elevation,Antares elevation,Altair elevation,Aldebaran elevation,Local sidereal time,Local apparent solar time,Local mean time,Moon elevation,Moon right ascension,Moon phase,Venus elevation,Venus right ascension,Venus phase,Mars elevation,Mars right ascension,Jupiter elevation,Jupiter right ascension,Saturn elevation,Saturn right ascension
39,-77,01/13/19,04/08/19,11:39,10,90,,,,,,,,,,,,,19:40,06:32,06:35,,,,,,,,,,,,
39,-77,01/13/19,04/10/19,13:52,36,114,,,,,,,,,,,,,22:00,08:50,08:52,,,,,,,,,,,,
39,-77,01/13/19,04/13/19,15:41,54,140,,,,,,,,,,,,,00:00,10:35,10:35,,,,,,,,,,,,
39,-77,01/13/19,04/15/19,22:11,17,270,,,,,,,,,,,,,06:50,17:20,17:20,,,,,,,,,,,,
39,-77,01/13/19,04/16/19,11:25,10,87,,,,,,,,,,,,,19:55,06:20,06:20,,,,,,,,,,,,
39,-77,01/13/19,04/16/19,23:34,0,290,,,,,,,,,,,,,08:05,18:35,18:35,,,Wax80,,,,,,,,,
39,-77,01/13/19,04/17/19,02:08,,,,,18,37,33,41,28,,,,,,10:40,21:00,21:00,53,11:10,Wax80,,,,,,,,,
39,-77,01/13/19,04/17/19,22:09,18,275,,,,,,,,,,,,,06:45,17:10,17:10,,,,,,,,,,,,
39,-77,01/13/19,04/19/19,01:00,,,21,,32,47,43,29,,,,,,,09:30,19:50,19:50,22,13:10,Wax95,,,,,,,,,
39,-77,01/13/19,04/22/19,22:20,18,270,,,,,,,,,,,,,07:05,17:03,17:00,,,,,,,,,,,,
39,-77,01/13/19,04/23/19,02:30,,,,,,18,,50,34,,,,,,11:25,21:30,21:30,,,,,,,,,,,,
39,-77,01/13/19,04/24/19,01:13,,,18,,24,40,,35,24,,,,,,10:17,20:18,20:17,,,,,,,,,,,,
39,-77,01/13/19,04/27/19,13:15,35,105,,,,,,,,,,,,,22:35,08:20,08:18,27,20:45,Wane45,,,,,,,,,
39,-77,01/13/19,04/27/19,17:19,66,186,,,,,,,,,,,,,02:30,12:05,12:03,,,,,,,,,,,,
39,-77,01/13/19,04/29/19,00:57,,,16,,24,40,37,36,24,,,,,,10:15,20:00,19:58,,,,,,,,,,,,
39,-77,01/13/19,05/06/19,22:32,17,280,,,,,,,,,,,,,08:10,17:30,17:25,,,,,,,,,,,,
39,-77,01/13/19,05/07/19,02:09,,,,,,20,,55,37,,,,,,12:10,21:20,21:15,,,,,,,,,,,,
39,-77,01/13/19,05/07/19,11:49,18,85,,,,,,,,,,,,,21:40,06:45,06:40,,,,,,,,,,,,
39,-77,01/13/19,05/14/19,01:15,,,,,,26,23,50,34,,,,,,11:50,20:30,20:24,57,11:05,Wax65,,,,,,,,,
39,-77,01/13/19,05/14/19,14:41,52,120,,,,,,,,,,,,,01:10,09:45,09:41,,,,,,,,,,,,
39,-77,01/13/19,05/16/19,21:00,37,265,,,,,,,,,,,,,07:20,16:00,15:56,,,,,,,,,,,,
39,-77,01/13/19,05/20/19,12:09,29,90,,,,,,,,,,,,,23:15,07:30,07:26,,,,,,,,,,,,
39,-77,01/13/19,05/21/19,15:26,62,135,,,,,,,,,,,,,02:25,10:30,10:26,,,,,,,,,,,,
39,-77,01/13/19,05/24/19,12:04,24,85,,,,,,,,,,,,,23:05,07:05,07:02,23,19:05,Wane60,,,,,,,,,
39,-77,01/13/19,05/25/19,14:11,50,112,,,,,,,,,,,,,01:25,09:20,09:16,,,,,,,,,,,,
39,-77,01/13/19,05/26/19,15:07,58,120,,,,,,,,,,,,,02:20,11:05,11:01,16,22:20,Wane60,,,,,,,,,
39,-77,05/30/19,05/30/19,11:20,16,80,,,,,,,,,,,,,22:50,06:25,06:23,,,,,,,,,,,,
39,-77,05/31/19,05/31/19,11:10,14,75,,,,,,,,,,,,,22:30,06:00,05:58,,,,,,,,,,,,
39,-77,05/31/19,05/31/19,18:55,61,,,,,,,,,,,,,,07:15,13:40,13:38,,,,,,,,,,,,
39,-77,05/31/19,06/01/19,00:26,,,,,,,,68,,,,,,,13:55,21:20,21:18,,,,,,,,,,,,
39,-77,05/31/19,06/02/19,12:55,37,90,,,,,,,,,,,,,00:35,08:00,07:58,,,,,,,,,,,,
39,-77,05/31/19,06/03/19,03:26,,,,,,,,64,,45,,,,,15:20,22:30,22:28,,,,,,,,,,,,
39,-77,05/31/19,06/03/19,11:28,17,70,,,,,,,,,,,,,23:00,06:15,06:13,,,,,,,,,,,,
39,-77,05/31/19,06/03/19,13:55,47,100,,,,,,,,,,,,,01:50,09:05,09:03,,,,,,,,,,,,
39,-77,05/31/19,06/03/19,19:14,59,245,,,,,,,,,,,,,06:50,14:05,14:03,,,,,,,,,,,,
39,-77,05/31/19,06/03/19,20:04,48,260,,,,,,,,,,,,,07:55,15:10,15:08,,,,,,,,,,,,
39,-77,05/31/19,06/03/19,21:44,29,275,,,,,,,,,,,,,09:30,16:40,16:38,,,,,,,,,,,,
39,-77,05/31/19,06/04/19,01:55,,,,,,,,64,39,,,,,,13:00,20:07,20:06,,,,,,,,,,,,
39,-77,05/31/19,06/04/19,11:05,14,82,,,,,,,,,,,,,22:50,06:00,05:59,,,,,,,,,,,,
39,-77,05/31/19,06/04/19,12:54,32,90,,,,,,,,,,,,,00:30,07:37,07:36,,,,,,,,,,,,
39,-77,05/31/19,06/04/19,19:46,52,255,,,,,,,,,,,,,07:40,14:50,14:49,,,,,,,,,,,,
39,-77,05/31/19,06/05/19,02:29,,,,,,,,68,37,40,,,,,14:20,21:20,21:18,,,,,,,,,,,,
39,-77,05/31/19,06/06/19,15:00,60,115,,,,,,,,,,,,,03:05,10:00,09:59,,,,,,,,,,,,
39,-77,05/31/19,06/06/19,19:55,50,255,,,,,,,,,,,,,07:55,14:55,14:54,,,,,,,,,,,,
39,-77,05/31/19,06/11/19,13:55,48,100,,,,,,,,,,,,,02:40,08:55,08:55,,,,,,,,,,,,
39,-77,05/31/19,06/11/19,14:40,65,235,,,,,,,,,,,,,08:55,13:35,13:35,,,,,,,,,,,,
39,-77,05/31/19,06/12/19,02:05,,,,,,,,68,,,,,,,14:35,21:10,21:10,45,13:00,Wax60,,,,,,,,,
39,-77,05/31/19,06/14/19,15:20,74,95,,,,,,,,,,,,,05:50,12:20,12:20,,,,,,,,,,,,
39,-77,05/31/19,06/15/19,16:58,74,90,,,,,,,,,,,,,05:35,12:00,12:00,,,,,,,,,,,,
39,-77,05/31/19,06/19/19,19:29,56,245,,,,,,,,,,,,,08:08,14:25,14:26,,,,,,,,,,,,
39,-77,05/31/19,06/21/19,18:51,63,240,,,,,,,,,,,,,07:45,13:45,13:47,,,,,,,,,,,,
39,-77,05/31/19,06/22/19,14:00,46,85,,,,,,,,,,,,,02:45,08:40,08:42,,,,,,,,,,,,
39,-77,05/31/19,06/23/19,01:38,,,,,,,,69,38,42,,18,,,14:40,20:30,20:32,,,,,,,,,18,17:20,,
39,-77,05/31/19,06/23/19,12:53,34,90,,,,,,,,,,,,,02:05,07:50,07:52,25,22:50,Wane55,,,,,,,,,
39,-77,05/31/19,06/24/19,03:23,,,,,,,,53,21,67,45,24,,,16:35,22:35,22:37,,,,,,,,,28,17:00,,
39,-77,05/31/19,06/25/19,01:25,,,,,,,,71,37,43,,19,,,14:40,20:20,20:22,,,,,,,,,18,17:15,,
39,-77,05/31/19,06/26/19,20:08,49,260,,,,,,,,,,,,,09:22,15:00,15:03,,,,,,,,,,,,
39,-77,05/31/19,06/27/19,02:24,,,,,,,,63,31,55,32,23,,,15:35,21:10,21:12,,,,,,,,,24,17:05,,
39,-77,05/31/19,06/29/19,14:21,49,100,,,,,,,,,,,,,03:40,09:05,09:08,,,,,,,,,,,,
39,-77,05/31/19,06/30/19,11:29,17,70,,,,,,,,,,,,,01:05,06:27,06:30,,,,,,,,,,,,
39,-77,05/31/19,06/30/19,14:35,53,100,,,,,,,,,,,,,04:05,09:25,09:27,,,,,,,,,,,,
39,-77,05/31/19,06/30/19,19:23,57,270,,,,,,,,,,,,,09:07,14:25,14:28,,,,,,,,,,,,
39,-77,05/31/19,07/01/19,02:30,,,,,,,,59,26,57,36,25,,,16:00,21:20,21:23,,,,,,,,,28,16:40,,
39,-77,05/31/19,07/01/19,20:19,47,265,,,,,,,,,,,,,09:55,15:10,15:14,,,,,,,,,,,,
39,-77,05/31/19,07/02/19,12:25,27,80,,,,,,,,,,,,,01:50,07:00,07:04,,,,,,,,,,,,
39,-77,05/31/19,07/02/19,19:16,60,255,,,,,,,,,,,,,08:50,14:05,14:09,,,,,,,,,,,,
39,-77,05/31/19,07/03/19,13:27,39,95,,,,,,,,,,,,,03:00,08:07,08:11,,,,,,,,,,,,
39,-77,05/31/19,07/05/19,22:02,24,280,,,,,,,,,,,,,12:10,17:10,17:14,,,,,,,,,,,,
39,-77,05/31/19,07/06/19,01:00,,,,,,,,68,,46,,,,,13:55,18:55,18:59,22,17:05,Wax10,,,,,,20,16:23,,
39,-77,05/31/19,07/07/19,13:31,40,90,,,,,,,,,,,,,03:25,08:17,08:21,,,,,,,,,,,,
39,-77,05/31/19,07/09/19,01:01,,,,,,,,68,,47,,,,,14:55,19:40,19:45,39,13:20,Wax50,,,,,,24,16:45,,
39,-77,05/31/19,07/10/19,02:31,,,,,,,,51,22,63,44,25,,,16:40,21:20,21:25,29,13:50,Wax60,,,,,,29,16:50,,
39,-77,05/31/19,07/13/19,12:54,32,88,,,,,,,,,,,,,03:15,07:40,07:45,,,,,,,,,,,,
39,-77,05/31/19,07/14/19,21:22,34,270,,,,,,,,,,,,,11:50,16:10,16:16,,,,,,,,,,,,
39,-77,05/31/19,07/22/19,15:58,64,135,,,,,,,,,,,,,06:55,10:45,10:51,,,,,,,,,,,,
39,-77,05/31/19,07/27/19,19:30,54,250,,,,,,,,,,,,,10:55,14:25,14:31,,,,,,,,,,,,
42,-72,05/31/19,07/28/19,23:05,10,290,,,,,,,,,,,,,14:45,18:05,18:11,,,,,,,,,,,,
42,-72,05/31/19,07/29/19,12:10,26,85,,,,,,,,,,,,,03:40,07:05,07:11,,,,,,,,,,,,
39,-77,05/31/19,08/17/19,19:36,47,240,,,,,,,,,,,,,12:20,14:35,14:39,,,,,,,,,,,,
39,-77,05/31/19,08/22/19,15:15,51,125,,,,,,,,,,,,,08:05,10:00,10:02,,,,,,,,,,,,
39,-77,05/31/19,08/22/19,22:21,16,270,,,,,,,,,,,,,15:20,17:10,17:12,,,,,,,,,,,,
39,-77,05/31/19,08/25/19,20:15,40,250,,,,,,,,,,,,,13:25,15:07,15:09,,,,,,,,,,,,
39,-77,05/31/19,08/29/19,11:29,9,88,,,,,,,,,,,,,04:50,06:20,06:20,,,,,,,,,,,,
39,-77,08/15/19,08/29/19,11:29,10,90,,,,,,,,,,,,,05:10,06:30,06:30,,,,,,,,,,,,
39,-77,05/31/19,08/29/19,19:20,47,235,,,,,,,,,,,,,12:50,14:15,14:15,,,,,,,,,,,,
39,-77,08/15/19,08/29/19,19:20,49,232,,,,,,,,,,,,,12:50,14:15,14:15,,,,,,,,,,,,
39,-77,05/31/19,08/30/19,02:20,,,,,,,,,,75,,,60,,19:45,21:10,21:10,,,,,,,,,15,16:50,23,18:05
39,-77,08/15/19,08/30/19,02:20,,,,,,,,,,74,,,58,,21:10,22:45,22:45,,,,,,,,,10,17:40,22,18:50
39,-77,05/31/19,08/30/19,12:54,24,100,,,,,,,,,,,,,06:15,07:40,07:40,,,,,,,,,,,,
39,-77,08/15/19,08/30/19,12:54,24,100,,,,,,,,,,,,,06:20,07:40,07:40,,,,,,,,,,,,
39,-77,05/31/19,08/31/19,18:01,57,200,,,,,,,,,,,,,11:30,12:50,12:51,,,,,,,,,,,,
39,-77,08/15/19,08/31/19,18:01,55,200,,,,,,,,,,,,,11:30,12:50,12:50,,,,,,,,,,,,
40,-78,08/15/19,09/02/19,14:00,37,110,,,,,,,,,,,,,07:20,08:40,08:40,,,,,,,,,,,,
40,-78,08/15/19,09/02/19,15:47,50,120,,,,,,,,,,,,,08:30,09:47,09:47,,,,,,,,,,,,
39,-77,05/31/19,09/03/19,12:40,23,100,,,,,,,,,,,,,06:20,07:40,07:40,,,,,,,,,,,,
39,-77,08/15/19,09/03/19,12:40,20,95,,,,,,,,,,,,,06:20,07:30,07:30,,,,,,,,,,,,
39,-77,05/31/19,09/04/19,03:10,,,,,,,,,,63,80,,56,,21:10,22:15,22:15,,,,,,,,,,,22,19:05
39,-77,08/28/19,09/04/19,03:10,,,,,,,,,,62,79,,55,,21:15,22:20,22:20,,,,,,,,,,,19,19:05
